id,url,business_entity_name,trading_name,abn,details_last_updated
153,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=153,Cultural Consulting,Cultural Consulting,87954656895,2016-06-30
386,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=386,Currie Communications,Currie Communications Pty Ltd,82 050 913 909,2016-06-16
10,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=10,Cynergy Pty Ltd,Cynergy Pty Ltd,41008620326,2016-09-18
221,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=221,Damian McGreevy Consulting Pty Ltd,Damian McGreevy Consulting Pty Ltd,93136533330,2016-07-17
16,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=16,Day & Hodge Associates Pty Ltd,Day & Hodge Associates Pty Ltd,28088863852,2016-11-03
360,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=360,Diplomacy Pty Limited,Diplomacy,17148998645,2016-09-21
454,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=454,Discourse Consulting Pty Ltd,Discourse Consulting Pty Ltd,49090692014,2016-07-05
624,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=624,Donna Edman,Astute Advocacy,60366005776,2016-09-21
172,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=172,Dr Robert Horton,Horton Consulting,11798005465,2016-06-20
515,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=515,Dunns4 Consulting Pty Ltd,Dunns4 Consulting Pty Ltd,96146192663,2016-07-18
263,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=263,ED & Associates Pty Ltd,ED & Associates Pty Ltd,62141983324,2016-09-16
344,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=344,Electrotech Australia Pty Limited,Electrotech Australia,99002989531,2016-06-27
734,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=734,Emerald Corporate Group Pty Ltd,Emerald Corporate Group Pty Ltd,31095619686,2016-06-20
31,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=31,Endeavour Consulting Group Pty Ltd,Endeavour Consulting Group Pty Ltd,15351458331,2016-11-22
74,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=74,Enhance Corporate Pty Ltd,Enhance Corporate,84095951134,2016-07-07
71,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=71,Essential Media Communications Pty Ltd,Essential Media Communications Pty Ltd,48074671462,2016-09-28
